Age,Budget,Interet,Duree,Climat,Destination
31,2284,Ville,9,Chaud,New York
33,2958,Nature,10,Chaud,Londres
35,3377,Aventure,11,Chaud,Rio de Janeiro
68,4601,Plage,11,Chaud,Rio de Janeiro
59,4610,Ville,25,Froid,Rome
46,1235,Nature,12,Chaud,Sydney
54,3869,Plage,28,Froid,Rio de Janeiro
66,1638,Plage,20,Tempéré,Paris
22,2120,Aventure,12,Chaud,Bali
67,935,Plage,15,Chaud,Le Caire
39,1148,Nature,27,Tempéré,Sydney
41,2025,Ville,22,Chaud,Tokyo
46,805,Ville,12,Chaud,Tokyo
58,1743,Nature,12,Froid,Tokyo
65,736,Aventure,2,Chaud,Le Caire
62,2776,Nature,19,Chaud,Le Caire
35,3288,Nature,3,Tempéré,Le Caire
58,3731,Ville,14,Tempéré,New York
68,659,Aventure,22,Chaud,Sydney
49,4539,Culture,20,Chaud,Rome
53,1110,Nature,2,Tempéré,Londres
37,1913,Plage,3,Chaud,New York
28,3804,Aventure,11,Tempéré,Sydney
57,548,Culture,13,Tempéré,Bali
21,4597,Plage,22,Froid,Rio de Janeiro
36,1511,Nature,18,Tempéré,Sydney
34,2646,Nature,9,Tempéré,Bali
60,1594,Nature,24,Froid,Tokyo
48,936,Ville,8,Froid,New York
54,815,Culture,4,Chaud,New York
64,3824,Aventure,24,Tempéré,Rio de Janeiro
64,3721,Plage,3,Tempéré,Rome
58,3640,Nature,14,Froid,New York
24,1620,Nature,29,Chaud,Rome
44,3361,Ville,8,Chaud,Sydney
30,2371,Plage,12,Tempéré,Paris
36,720,Culture,16,Tempéré,Sydney
54,1426,Ville,10,Froid,Sydney
21,4998,Culture,27,Froid,Sydney
54,4510,Plage,10,Froid,Londres
35,3067,Nature,2,Froid,Rio de Janeiro
38,3876,Plage,16,Froid,Londres
49,4842,Aventure,15,Froid,New York
64,2042,Culture,21,Chaud,Le Caire
64,4862,Aventure,22,Tempéré,Rio de Janeiro
68,4443,Nature,29,Chaud,Paris
48,3747,Culture,19,Chaud,Sydney
22,2044,Aventure,18,Chaud,Rio de Janeiro
59,3545,Plage,29,Chaud,Tokyo
52,1115,Ville,28,Chaud,Tokyo
64,1992,Plage,12,Chaud,Paris
52,3625,Culture,13,Tempéré,Londres
37,2996,Aventure,14,Tempéré,Sydney
30,777,Aventure,4,Chaud,Le Caire
66,4504,Aventure,26,Chaud,Tokyo
24,1563,Aventure,25,Tempéré,Paris
52,3748,Culture,17,Froid,Rio de Janeiro
65,1148,Ville,24,Tempéré,Barcelone
25,3526,Ville,22,Tempéré,Paris
59,1178,Ville,6,Chaud,Barcelone
51,4357,Plage,5,Froid,Barcelone
45,4257,Plage,13,Chaud,Barcelone
41,3930,Ville,16,Tempéré,Tokyo
51,2434,Nature,14,Froid,Barcelone
60,4487,Culture,27,Froid,Londres
39,3745,Nature,24,Tempéré,Le Caire
51,4464,Aventure,20,Chaud,Rio de Janeiro
54,1859,Plage,6,Chaud,Paris
65,3607,Aventure,16,Chaud,Le Caire
22,2300,Ville,8,Tempéré,Tokyo
63,2824,Aventure,21,Froid,New York
26,3544,Ville,11,Chaud,Barcelone
69,1481,Ville,24,Tempéré,Rome
51,2120,Ville,4,Tempéré,Le Caire
34,555,Plage,14,Chaud,Paris
49,2218,Aventure,22,Froid,Londres
21,1969,Ville,25,Froid,Rome
63,2732,Plage,20,Chaud,Sydney
50,657,Nature,15,Chaud,Rome
65,3881,Aventure,15,Chaud,Rio de Janeiro
37,3935,Aventure,23,Chaud,Sydney
44,589,Culture,6,Froid,Sydney
41,4821,Nature,16,Tempéré,Paris
21,1203,Aventure,3,Froid,New York
69,772,Culture,11,Tempéré,New York
32,2891,Aventure,6,Chaud,Bali
56,2469,Nature,3,Chaud,New York
60,1379,Aventure,6,Tempéré,Bali
58,2108,Ville,10,Tempéré,Le Caire
28,1455,Plage,6,Tempéré,Rio de Janeiro
22,4112,Nature,5,Chaud,Sydney
65,4251,Nature,7,Chaud,Rio de Janeiro
23,3294,Nature,25,Froid,Barcelone
69,3162,Nature,15,Froid,Paris
19,4492,Ville,11,Chaud,Rio de Janeiro
64,2948,Ville,18,Froid,Le Caire
48,4406,Plage,7,Chaud,Barcelone
25,4700,Plage,3,Chaud,Sydney
32,1041,Culture,2,Tempéré,Londres
38,4311,Aventure,11,Chaud,New York
24,4053,Plage,5,Chaud,Paris
19,2164,Aventure,25,Froid,Barcelone
44,1027,Ville,26,Tempéré,Paris
28,728,Ville,2,Tempéré,Bali
23,3196,Plage,28,Tempéré,New York
54,3945,Plage,14,Chaud,Bali
53,2205,Nature,9,Chaud,Sydney
43,4689,Plage,6,Tempéré,Tokyo
33,1634,Nature,15,Tempéré,Paris
39,974,Nature,8,Tempéré,Tokyo
45,2937,Plage,13,Chaud,Rome
22,4335,Ville,5,Froid,Paris
46,755,Ville,28,Chaud,Tokyo
65,3832,Culture,10,Froid,Rome
65,2871,Plage,15,Chaud,Rio de Janeiro
59,4398,Plage,7,Chaud,Sydney
60,2137,Plage,22,Froid,Londres
41,3713,Culture,8,Chaud,New York
26,1429,Plage,11,Chaud,New York
29,4531,Plage,29,Froid,New York
33,4436,Culture,22,Tempéré,Paris
28,2392,Aventure,2,Tempéré,Rio de Janeiro
63,4366,Plage,14,Froid,Rio de Janeiro
58,3943,Aventure,29,Chaud,Bali
56,4717,Ville,20,Tempéré,Rome
37,3560,Culture,11,Tempéré,Londres
51,4415,Plage,25,Tempéré,Paris
61,3748,Nature,22,Tempéré,Rio de Janeiro
49,1045,Culture,8,Chaud,Tokyo
67,3718,Aventure,24,Tempéré,Rio de Janeiro
38,1671,Ville,3,Tempéré,Sydney
64,2070,Culture,6,Chaud,Barcelone
63,3621,Aventure,23,Tempéré,Le Caire
20,4470,Plage,13,Tempéré,Londres
36,1363,Nature,2,Froid,Barcelone
64,3892,Nature,19,Chaud,Tokyo
29,4267,Aventure,17,Froid,Londres
67,1143,Culture,26,Chaud,Paris
67,4706,Aventure,4,Chaud,Rio de Janeiro
51,3874,Aventure,3,Froid,Londres
42,4537,Plage,5,Froid,Sydney
20,3378,Culture,27,Tempéré,Rome
35,3944,Ville,27,Chaud,Le Caire
45,2394,Nature,14,Tempéré,Rio de Janeiro
44,2843,Culture,3,Chaud,Barcelone
33,2316,Plage,26,Tempéré,Londres
37,1594,Nature,23,Froid,Paris
42,1941,Aventure,5,Tempéré,Sydney
44,4053,Aventure,23,Tempéré,Le Caire
69,2021,Nature,10,Chaud,Rome
56,2759,Nature,29,Chaud,Rio de Janeiro
29,4507,Plage,9,Chaud,Tokyo
20,3832,Nature,13,Tempéré,Bali
34,3764,Ville,27,Tempéré,Le Caire
36,4691,Culture,29,Tempéré,New York
44,627,Ville,4,Tempéré,Le Caire
48,4144,Ville,12,Tempéré,Sydney
36,3890,Aventure,25,Tempéré,Londres
25,857,Plage,14,Tempéré,Le Caire
20,3078,Nature,10,Chaud,Rome
60,3453,Culture,8,Froid,Barcelone
34,4924,Aventure,2,Tempéré,Le Caire
64,775,Culture,9,Froid,Tokyo
20,4232,Aventure,24,Chaud,Rome
46,3615,Aventure,20,Froid,Barcelone
40,3805,Aventure,23,Chaud,Rome
45,2798,Aventure,22,Chaud,Rome
46,4127,Nature,26,Chaud,Rio de Janeiro
29,2988,Ville,23,Tempéré,Le Caire
67,1886,Aventure,9,Tempéré,Sydney
32,1714,Aventure,28,Chaud,Le Caire
18,2300,Aventure,12,Froid,Tokyo
62,4768,Culture,13,Tempéré,Bali
32,3297,Aventure,18,Froid,Londres
60,2077,Culture,13,Tempéré,New York
19,3193,Ville,18,Chaud,Rome
50,4905,Culture,29,Chaud,Tokyo
43,2816,Ville,16,Chaud,Rio de Janeiro
32,3996,Culture,3,Froid,Tokyo
37,2210,Aventure,8,Froid,Rio de Janeiro
68,4764,Ville,26,Froid,Londres
45,1646,Ville,17,Chaud,Londres
44,1638,Aventure,6,Froid,Paris
46,3317,Plage,29,Chaud,Paris
18,4511,Aventure,24,Tempéré,Rome
52,3214,Nature,4,Froid,Le Caire
47,2321,Aventure,3,Tempéré,Bali
63,1567,Plage,15,Tempéré,Londres
59,1251,Ville,19,Chaud,Rio de Janeiro
68,715,Aventure,13,Tempéré,Tokyo
47,3217,Ville,10,Tempéré,Paris
64,825,Aventure,16,Chaud,Rio de Janeiro
64,2276,Aventure,10,Tempéré,New York
68,2812,Aventure,21,Tempéré,Londres
69,2354,Aventure,20,Froid,Paris
66,1223,Ville,29,Froid,Rio de Janeiro
21,3378,Plage,14,Chaud,Rome
18,653,Culture,23,Tempéré,Rio de Janeiro
44,2316,Nature,10,Tempéré,Bali
21,2130,Culture,15,Tempéré,Londres
38,3463,Nature,6,Tempéré,Barcelone
23,653,Plage,18,Tempéré,Barcelone
63,4431,Plage,26,Froid,Tokyo
67,550,Aventure,17,Tempéré,Barcelone
21,2400,Plage,24,Tempéré,Paris
63,2038,Culture,25,Chaud,Bali
51,1522,Ville,6,Froid,Barcelone
44,1619,Nature,17,Froid,Le Caire
67,3939,Aventure,23,Tempéré,Rome
28,3397,Culture,12,Chaud,Sydney
31,3914,Aventure,9,Tempéré,Bali
50,731,Nature,6,Tempéré,Rome
18,4451,Aventure,11,Froid,Bali
44,1262,Ville,25,Chaud,Bali
51,3470,Aventure,12,Froid,New York
55,907,Ville,13,Chaud,Barcelone
45,792,Plage,11,Tempéré,Barcelone
36,4757,Aventure,3,Chaud,Londres
64,3408,Ville,2,Froid,Londres
51,1073,Ville,7,Froid,Bali
34,4016,Ville,17,Chaud,Rio de Janeiro
26,4902,Aventure,14,Tempéré,Tokyo
23,4252,Ville,28,Tempéré,Rome
24,3069,Nature,28,Tempéré,Londres
29,4289,Aventure,23,Tempéré,Rio de Janeiro
57,3959,Aventure,16,Froid,New York
51,2257,Ville,18,Tempéré,Sydney
68,1238,Plage,20,Tempéré,Barcelone
32,4876,Plage,19,Chaud,Tokyo
26,515,Aventure,9,Tempéré,Tokyo
42,3339,Nature,29,Tempéré,Barcelone
49,1024,Culture,11,Tempéré,Londres
36,1352,Culture,19,Froid,Barcelone
26,2136,Nature,16,Tempéré,Rio de Janeiro
68,4426,Culture,29,Chaud,Barcelone
60,2126,Nature,9,Tempéré,New York
42,3195,Nature,20,Chaud,Rio de Janeiro
63,2429,Ville,25,Tempéré,Rio de Janeiro
29,3984,Aventure,21,Chaud,Sydney
22,1419,Ville,21,Chaud,Londres
64,693,Ville,27,Chaud,Rome
21,1981,Culture,10,Froid,New York
36,3562,Nature,12,Chaud,Barcelone
34,1186,Nature,16,Tempéré,Bali
39,4188,Nature,15,Froid,Rome
61,2995,Ville,2,Chaud,Barcelone
60,2365,Culture,18,Tempéré,Paris
28,3108,Nature,26,Tempéré,Sydney
68,1106,Aventure,21,Froid,Bali
30,2747,Ville,28,Chaud,Bali
36,4666,Nature,13,Froid,Rome
55,3594,Plage,25,Chaud,Bali
65,3639,Culture,19,Froid,Bali
42,4757,Aventure,22,Tempéré,Barcelone
65,1995,Plage,25,Froid,Paris
53,995,Ville,12,Chaud,Tokyo
58,1569,Nature,19,Froid,Barcelone
50,2615,Ville,28,Chaud,Londres
31,1214,Nature,23,Chaud,Bali
39,2723,Plage,4,Froid,Sydney
50,4863,Aventure,20,Chaud,New York
47,3127,Aventure,16,Tempéré,Tokyo
27,1474,Culture,17,Chaud,Tokyo
18,4086,Ville,28,Froid,Rio de Janeiro
45,1278,Ville,18,Tempéré,Londres
33,1935,Ville,16,Tempéré,Bali
60,3289,Aventure,26,Tempéré,New York
50,3644,Ville,8,Froid,Rio de Janeiro
33,2486,Plage,13,Tempéré,Bali
56,1885,Nature,28,Tempéré,Le Caire
39,545,Culture,9,Froid,Rome
55,2080,Culture,4,Chaud,Rome
52,3028,Ville,25,Chaud,Rio de Janeiro
37,3512,Nature,11,Froid,Paris
19,3786,Nature,11,Tempéré,Sydney
49,2962,Ville,24,Chaud,Tokyo
50,4146,Culture,13,Chaud,Sydney
27,3011,Plage,10,Chaud,Londres
67,4292,Plage,7,Froid,Sydney
68,4945,Ville,20,Chaud,New York
69,4512,Culture,13,Chaud,Rio de Janeiro
41,3502,Ville,3,Froid,Rome
58,3571,Plage,21,Tempéré,Paris
32,1691,Ville,14,Chaud,Tokyo
57,3156,Ville,25,Froid,Barcelone
44,2717,Culture,23,Froid,Rio de Janeiro
64,1489,Plage,23,Chaud,Bali
22,1689,Plage,11,Chaud,Bali
44,2442,Plage,28,Chaud,Rome
25,1882,Ville,10,Tempéré,Sydney
57,2549,Culture,11,Froid,Londres
67,1523,Ville,4,Chaud,Rome
26,3659,Ville,14,Froid,Sydney
26,2802,Ville,21,Tempéré,New York
52,1104,Culture,9,Chaud,New York
61,1690,Plage,12,Chaud,Sydney
62,4392,Aventure,4,Froid,New York
24,4978,Culture,8,Chaud,Bali
54,3080,Nature,29,Chaud,Paris
56,4198,Ville,5,Tempéré,Londres
45,3829,Aventure,21,Chaud,Barcelone
34,892,Plage,20,Chaud,Rio de Janeiro
34,3373,Ville,22,Tempéré,New York
19,4885,Nature,15,Tempéré,Rio de Janeiro
41,4471,Ville,7,Froid,Bali
51,2415,Aventure,13,Chaud,New York
37,2159,Aventure,17,Froid,Sydney
35,1452,Culture,7,Tempéré,Sydney
65,2911,Ville,28,Tempéré,Londres
56,3493,Nature,9,Tempéré,Paris
58,4021,Ville,7,Chaud,Barcelone
29,4425,Aventure,15,Froid,Rome
20,4040,Aventure,16,Chaud,Bali
23,726,Aventure,12,Froid,Londres
43,3337,Culture,17,Froid,New York
62,4865,Ville,3,Chaud,Barcelone
40,2535,Aventure,20,Tempéré,New York
55,4089,Plage,20,Chaud,Londres
66,2076,Aventure,6,Chaud,Sydney
37,897,Culture,26,Tempéré,Paris
32,3515,Culture,22,Chaud,Le Caire
67,2132,Aventure,16,Tempéré,Sydney
67,4742,Aventure,23,Chaud,Rio de Janeiro
35,3322,Plage,18,Tempéré,New York
52,3637,Culture,24,Froid,New York
18,704,Ville,20,Tempéré,Londres
63,2429,Plage,15,Chaud,Rome
40,2303,Culture,19,Chaud,Tokyo
47,1653,Ville,7,Tempéré,New York
25,3474,Culture,29,Tempéré,Tokyo
32,4780,Culture,26,Tempéré,Rome
59,4161,Ville,28,Froid,Sydney
37,3783,Aventure,25,Chaud,Tokyo
53,2300,Nature,3,Froid,New York
50,4427,Culture,5,Chaud,Rio de Janeiro
60,1978,Nature,9,Tempéré,Barcelone
36,953,Aventure,14,Froid,Barcelone
50,4383,Nature,15,Froid,New York
51,1701,Culture,15,Chaud,Bali
25,4616,Culture,3,Froid,Paris
55,3954,Plage,3,Chaud,Londres
52,4410,Culture,18,Tempéré,Le Caire
47,2605,Aventure,13,Tempéré,Bali
23,3846,Aventure,21,Tempéré,Rio de Janeiro
23,1451,Aventure,18,Tempéré,Rome
38,3809,Nature,25,Froid,Le Caire
35,2953,Nature,8,Tempéré,Rome
64,2744,Plage,6,Froid,New York
21,2426,Ville,8,Chaud,Paris
36,1421,Nature,5,Chaud,Paris
65,2127,Nature,5,Chaud,Barcelone
55,4608,Culture,25,Chaud,Rome
50,2052,Plage,18,Chaud,Paris
29,4659,Nature,24,Chaud,Sydney
32,2719,Culture,21,Froid,New York
59,3253,Aventure,26,Tempéré,Barcelone
69,740,Nature,15,Tempéré,Barcelone
42,4206,Aventure,18,Tempéré,Rio de Janeiro
40,2315,Culture,15,Chaud,Paris
55,4706,Aventure,26,Froid,Bali
50,3429,Culture,18,Tempéré,Barcelone
38,2415,Plage,21,Froid,Rio de Janeiro
43,2093,Ville,12,Chaud,Tokyo
65,1248,Ville,26,Froid,Barcelone
65,979,Plage,14,Froid,Le Caire
46,4662,Aventure,24,Froid,Le Caire
25,2860,Nature,12,Froid,Rio de Janeiro
45,858,Culture,2,Froid,Rio de Janeiro
45,3728,Nature,20,Froid,Tokyo
69,1171,Ville,5,Chaud,Le Caire
50,2813,Plage,11,Chaud,Le Caire
52,604,Aventure,12,Tempéré,Barcelone
27,954,Culture,2,Chaud,Bali
37,2934,Aventure,20,Chaud,Rio de Janeiro
37,1252,Plage,28,Tempéré,Londres
53,4977,Ville,12,Tempéré,Barcelone
19,4544,Culture,10,Froid,Sydney
59,2910,Plage,2,Chaud,Paris
55,4190,Culture,8,Tempéré,Bali
49,2594,Ville,21,Tempéré,Barcelone
18,1362,Culture,14,Tempéré,Tokyo
54,2016,Nature,15,Froid,Barcelone
26,3058,Plage,10,Froid,Sydney
43,2220,Nature,10,Froid,Paris
64,1800,Aventure,15,Chaud,Bali
48,3554,Culture,7,Chaud,Rio de Janeiro
61,3697,Ville,2,Froid,Rio de Janeiro
34,1629,Culture,21,Froid,Londres
25,4791,Ville,21,Froid,Le Caire
45,1819,Culture,27,Froid,Barcelone
41,1335,Plage,26,Chaud,Paris
43,983,Culture,5,Froid,Tokyo
25,3682,Aventure,28,Tempéré,Tokyo
38,4197,Culture,22,Froid,Londres
18,4258,Aventure,21,Tempéré,Barcelone
69,1008,Ville,13,Tempéré,Le Caire
32,4287,Ville,18,Froid,Paris
57,1035,Nature,19,Tempéré,New York
30,4632,Plage,18,Froid,Sydney
48,581,Nature,15,Tempéré,Paris
20,3045,Culture,27,Chaud,Bali
39,1577,Plage,14,Froid,Le Caire
31,788,Culture,25,Froid,Barcelone
23,3571,Plage,18,Chaud,Le Caire
68,2118,Ville,15,Tempéré,Londres
50,4619,Culture,19,Chaud,Rio de Janeiro
68,1992,Culture,15,Froid,Rome
63,900,Ville,3,Chaud,Rio de Janeiro
45,3926,Nature,2,Froid,Rio de Janeiro
37,3027,Nature,2,Froid,Sydney
46,1399,Ville,21,Tempéré,Barcelone
40,2526,Ville,11,Chaud,Paris
56,1560,Ville,4,Froid,Rio de Janeiro
35,625,Aventure,10,Chaud,Londres
57,1341,Nature,19,Chaud,Tokyo
21,2391,Nature,3,Froid,New York
46,3685,Ville,29,Tempéré,Londres
39,4703,Ville,23,Froid,Rome
51,1329,Plage,28,Chaud,Bali
32,2485,Nature,6,Chaud,Rio de Janeiro
51,2076,Culture,21,Chaud,Londres
60,1994,Aventure,23,Tempéré,Le Caire
21,738,Ville,10,Tempéré,Sydney
19,2803,Ville,13,Tempéré,Le Caire
58,3451,Plage,14,Froid,Rio de Janeiro
29,2828,Nature,10,Tempéré,Londres
58,3897,Plage,6,Chaud,Sydney
50,2947,Aventure,16,Chaud,Rome
45,764,Nature,6,Tempéré,Paris
41,4001,Culture,24,Tempéré,Barcelone
57,4637,Plage,4,Froid,Tokyo
44,1900,Ville,21,Froid,Paris
41,2078,Culture,26,Tempéré,Paris
60,1181,Plage,14,Chaud,Le Caire
62,1883,Nature,16,Chaud,Barcelone
69,1386,Culture,25,Chaud,New York
49,1621,Culture,14,Froid,New York
63,2115,Culture,27,Froid,Londres
18,1319,Nature,19,Tempéré,Rome
29,2463,Nature,9,Tempéré,New York
53,3517,Nature,11,Tempéré,Le Caire
41,3387,Ville,22,Tempéré,New York
18,1384,Plage,3,Chaud,Rome
49,2300,Plage,22,Tempéré,Sydney
26,3463,Aventure,12,Chaud,Bali
34,1089,Nature,28,Chaud,Rome
56,1178,Culture,3,Froid,Le Caire
44,911,Nature,29,Chaud,Le Caire
69,3276,Nature,20,Chaud,Rome
44,3029,Aventure,20,Chaud,Rio de Janeiro
53,867,Ville,8,Chaud,Rio de Janeiro
41,2477,Ville,4,Chaud,Bali
52,1294,Aventure,7,Chaud,Le Caire
28,1914,Nature,21,Chaud,Rio de Janeiro
35,1193,Plage,9,Tempéré,Le Caire
43,4688,Plage,27,Tempéré,Le Caire
60,2361,Ville,20,Froid,Londres
33,1594,Ville,2,Tempéré,Rome
31,4383,Ville,23,Froid,Sydney
37,649,Ville,11,Froid,Bali
23,1608,Culture,24,Tempéré,Barcelone
48,4630,Culture,7,Froid,Londres
28,4076,Nature,21,Tempéré,Tokyo
58,2382,Nature,21,Chaud,Rio de Janeiro
55,616,Culture,16,Tempéré,Rome
69,2894,Ville,19,Chaud,Tokyo
64,3667,Ville,13,Tempéré,New York
53,4019,Ville,5,Tempéré,Bali
28,2255,Culture,21,Chaud,Bali
61,1888,Aventure,15,Chaud,Tokyo
20,4840,Nature,24,Chaud,Londres
64,2189,Plage,3,Tempéré,Bali
22,4913,Nature,4,Tempéré,Sydney
61,2992,Aventure,6,Froid,Sydney
20,1955,Culture,11,Tempéré,Sydney
52,1813,Culture,9,Froid,Rio de Janeiro
53,873,Nature,22,Froid,Le Caire
59,3188,Aventure,6,Chaud,New York
53,2033,Plage,17,Chaud,Tokyo
51,2208,Culture,4,Chaud,Rome
59,707,Culture,25,Froid,Londres
61,3836,Plage,7,Tempéré,Sydney
47,1755,Plage,29,Chaud,Paris
50,3519,Nature,22,Chaud,Sydney
27,2035,Nature,28,Tempéré,Sydney
66,1351,Nature,24,Froid,Rome
22,3153,Culture,25,Froid,Bali
64,819,Aventure,29,Froid,Paris
51,3177,Culture,4,Froid,Rome
40,1090,Culture,12,Froid,Barcelone
64,4762,Culture,5,Froid,Bali
34,3630,Nature,24,Tempéré,Paris
32,3781,Plage,15,Tempéré,Rio de Janeiro
38,2668,Nature,23,Tempéré,New York
60,2761,Ville,24,Froid,Tokyo
67,3268,Aventure,19,Tempéré,New York
59,4310,Plage,17,Froid,Bali
34,791,Aventure,15,Chaud,Tokyo
54,4579,Nature,24,Chaud,Tokyo
47,1043,Culture,8,Tempéré,Rome
18,2318,Aventure,5,Froid,Rio de Janeiro
21,608,Ville,12,Chaud,Rio de Janeiro
64,3675,Plage,24,Chaud,Barcelone
55,1988,Culture,28,Tempéré,New York
43,4523,Aventure,5,Froid,Paris
32,3575,Plage,14,Froid,Paris
64,1838,Aventure,25,Chaud,New York
51,815,Culture,3,Chaud,Sydney
56,4323,Ville,8,Tempéré,Sydney
69,1876,Culture,17,Chaud,Rome
37,2431,Aventure,25,Chaud,Paris
32,3475,Aventure,22,Chaud,Rio de Janeiro
19,1400,Aventure,7,Tempéré,Le Caire
56,3335,Ville,20,Froid,Rome
44,3243,Nature,13,Froid,New York
23,1119,Culture,4,Chaud,Rio de Janeiro
60,1927,Ville,10,Froid,Tokyo
62,1667,Aventure,17,Froid,Sydney
19,4245,Aventure,14,Froid,Le Caire
45,1123,Aventure,24,Chaud,New York
27,1701,Culture,20,Tempéré,Rome
49,2543,Nature,9,Tempéré,Rio de Janeiro
32,2789,Culture,21,Froid,Rome
56,1547,Plage,24,Froid,Paris
32,705,Plage,5,Tempéré,Paris
